act,scene,number,characters,dramatic_situation,air_or_melodie,poetic_text,rhyme_scheme,poetic_form,end_of_line_accents,syllable_count_per_line,irregularities,stage_direction_or_cues,reprise
1,1,1,Choeur des Petits Marchands,"A chorus of small merchants advertising their goods in a lively marketplace scene, setting the vibrant and bustling atmosphere.",Premier chœur des Pilules du Diable,"Désirez -vous vous fleurir?
Voulez -vous vous rafraîchir?
Demandez -vous du plaisir?
Faites - vous servir .",AABB,Quatrain,feminine; feminine; feminine; masculine,7; 8; 8; 6,Some lines have missing spaces making the syllable count slightly unclear without corrections.,(Ils se dispersent de tous côtés et disparaissent.),
1,1,2,La Loueuse de Chaises; Le Marchand de Gauffres; La Marchande de Bouquets; Le Marchand de Coco; La Marchande de Plaisir,"Merchants individually advertise their specific goods in the marketplace, echoing the theme of the first musical moment.",. . .,"La Loueuse De Chaises: Chaises à louer.
Le Marchand De Gauffres: Des gauffres toutes chaudes.
La Marchande De Bouquets: La violette qu'em baume.
Le Marchand De Coco: A la fraîche, qui veut boire.
La Marchande De Plaisir: Voilà l'plaisir Mesdames, voilà l'plaisir.",. . .,Individual merchant calls,masculine; feminine; feminine; masculine; masculine,5; 6; 8; 8; 11,Text includes phrases with joined words due to formatting.,,"Désirez-vous vous fleurir, etc."
1,1,3,Maxime,"Maxime shares a humorous tale with Palmyre that exemplifies the unusual and crowded conditions in Paris due to the exposition, trying to charm her.",Air de madame Favart,"En vérité, l'histoire est singulière,
Mais on le dit et l'on raconte encor,
Qu'un prince indien trois fois millionnaire,
Vient de louer cette loge à prix d'or.",ABAB,Quatrain,feminine; masculine; feminine; masculine,10; 8; 10; 8,Standard phrasing consistent with the air's rhythm.,,
1,1,4,Palmyre; Maxime,"The humorous tale continues with Maxime embellishing the story for effect, highlighting the prince's humorous plight.",Air de madame Favart,"Vrai ?
MAXIME .
Mais le prince, à ce que l'on rapporte,
N'a pu louer qu'à la condition
Qu'il devra balayer la porte
Et qu'il tirera le cordon.
On le voit balayer la porte,
On le voit tirer le cordon.",ABABCC,Stanza with a repeated final line,masculine; feminine; masculine; feminine; feminine; masculine,1; 5; 10; 8; 8; 8; 8,"Concise, focusing on quick rhyming for comedic effect.",,
1,2,1,NELLY; LISBETH; FRÉDÉGONDE; CARMEN; NATA,A group of women from different nationalities express their discontent at being excluded from the exhibition.,Au bruit des trompettes (Binettes),"C'est une injustice
Ou c'est un pari...
Il faut qu'on sévisse
Contre le jury.
Des Champs-Elysées
L'exposition
Nous a refusées!
Malédiction !
Vengeance! vengeance!
Bientôt, je pense,
On nous connaîtra mieux .
Il faut que la France
Aussi récompense
Nos produits merveilleux!",ABAB CDED FGHG,Choeur,féminine; masculine; féminine; masculine; féminine; féminine; féminine; masculine; féminine; féminine; féminine; féminine; féminine; féminine,6; 6; 6; 6; 6; 6; 6; 4; 3; 3; 7; 6; 5; 6,,"NELLY, in Dutch; LISBETH, in German; FRÉDÉGONDE, in French; CARMEN, in Spanish; NATA, in Chinese. They enter briskly from the left.",
1,3,1,Frédégonde; Toutes,The characters express their frustration about their inventions being rejected and mock the unfairness of the situation.,Le beau Lycas aimait Thémire,"Voyez l'injusticedes hommes ! Refuser nos inventions ! Maintenant Mesdames , nous sommes Dans de tristes positions. A tous les afronts exposées, Objets de toutes les risées, Quand nous paraîtrons maintenant, On va dire qu'en se moquant Des messieurs nous ont refusées! ) (bis, en- N'est-ce pas bien humiliant!",AABBCCDDED,Strophic form with refrain,feminine; feminine; feminine; feminine; feminine; feminine; feminine; masculine; feminine; masculine,8; 8; 8; 8; 8; 8; 9; 11; 5; 8,,"(bis, ensemble)",
1,3,2,Toutes,"The women join in a protest against the jury, declaring their determination and unity.",Jurons ! (A. Adam),"Jurous! (ter.) Que nous l'emporterons! Pour que de femmes si capables Chaque produit soit exposé, Il faut de jeunes gens aimables Que le jury soit composé ! (bis.)",AAABCB,Strophic with repetition,masculine; masculine; feminine; feminine; feminine; masculine,3; 8; 8; 8; 8; 8,,,
1,3,3,Damastor,Damastor declares himself a misunderstood genius and announces his plans to launch a counter-exposition.,Ne raillez pas la garde citoyenne,"Venez à moi, vitous qui devez prendre Un noble essor, dans ce brillant Paris; Si le jury n'a pas su vi comprendre, Je comprendrai ce qu'il n'a pas compris. J'applaudirai même, sans rien comprendre, Car le génie est obscur ici-bas, Et le bon goût qui juge sans attendre, Doit admirer ce qu'il ne comprend pas. Ne fait-on pas des maisons sans toitures, Et des tableaux sans couleurs ni dessin; Du feu sans bois, des habits sans coutures, Du pain sans blé, et du vin sans raisin. En nous moquant des sottes épigrammes, Marchons toujours, et bientôt nous ferons Des œufs sans poules et des hommes sans femmes, Comme on a fait des poissons sans poissons. C'est au génie à transformer le monde, Il ne peut plus se montrer tel qu'il est. On dit qu'il tourne et que sa forme est ronde, Nous le ferons carré, si ça nous plaît. Enfin, ce globe était des plus immondes, On s'en plaignait dans chaque nation; Mais il sera le plus parfait des mondes, Quand inse a de dron almon4 LE PALAIS DE CHRYSOCALE.",ABABCCDD EFEFGGHH IJIJKKLL,Strophic with evolving ideas,feminine; masculine; feminine; masculine; feminine; masculine; feminine; masculine; feminine; masculine; feminine; masculine; feminine; masculine; feminine; masculine,12; 10; 12; 10; 9; 10; 10; 10; 11; 11; 11; 11; 11; 11; 10; 9,Line 'Quand inse a de dron almon4 LE PALAIS DE CHRYSOCALE' includes a misreading or unclear text.,,"Venez à moi , etc."
1,3,4,Damastor; Les Femmes,"Damastor and the women prepare to proceed to his new exhibition space, hopeful about the future.",Air de la Marseillaise des femmes,"J'ai voulu donner un asile A tous ces produits merveilleux, Qui sont restés sans domicile; Je les reçois tous, et je veux Que toute la capitale Dise, en voyant mon local: Le palais de Chrysocale, Vaut bien celui de Cristal.",ABABCBCD,Strophic,feminine; feminine; feminine; feminine; feminine; feminine; feminine; masculine,8; 8; 8; 8; 8; 8; 8; 8,,,
1,3,5,Damastor; Toutes,"The ensemble rallies together in support of Damastor's vision, ready to act on their creative ambitions.",Air de la Marseillaise des femmes,"Amour sacré de l'industrie! Combats avec nous toute coterie. Agissons ! Nous allons, Grâce à plus d'une invention, Faire La guerre ! La guerre! A l'Exposition!",AABCCDD,Anthem-like strophic with refrain,feminine; feminine; masculine; masculine; feminine; masculine; feminine,8; 8; 3; 4; 2; 3; 4,,"TOUTES, criant. A l'Exposition! (Elles sortent par la droite, précédées de Damastor.)",
1,5,1,Damastor; Canichon; Margot,"Damastor offers to lead Canichon and Margot to the palace of Industry, and they sing about visiting it.",Allons aux Prés-Saint-Gervais,"Allons vite visiter
Ce beau palais de l'Industrie,
Que chaque noble patrie
De ses trésors vient de doter.

Croyez-vous qu'ma femme engraisse?
Sans doute l'on trouvera
Dans les produits de la Grèce
Quelqu' chos' pour ça.",ABAB CBCB,Stanzaic,feminine; feminine; feminine; feminine; feminine; feminine; feminine; feminine,8; 8; 8; 8; 8; 8; 8; 5,,"Pendancet cet ensemble, Damastor offers son bras à Margot et ils vont tous les trois sortir par la droite, lorsque Soliveau entre du même côté et se jette dans Canichon.","Ensemble: Allons vite visiter, etc."
