act,scene,number,characters,dramatic_situation,air_or_melodie,poetic_text,rhyme_scheme,poetic_form,end_of_line_accents,syllable_count_per_line,irregularities,stage_direction_or_cues,reprise
1,2,1,Polkette,"Polkette sings about her carefree and pleasure-seeking nature, emphasizing her desire for change and freedom.",AIR des Enfers de Paris (J. Nargeot),"Je suis Polkette et j'aime le plaisir!
Ma vie est une fête
Sans réfléchir,
A saisir
Le plaisir
Polkette est toujours prête.
Ce n'est pas sa fierté,
Mais sa gaieté,
Mais sa bonté,
Qui font aimer Polkette.
Ainsi que de bonnets
Coquets,
Je change de sentiment
A tout moment;
Je veux, je le dis sans détours,*
De toilettes et d'amours
Changer toujours!
Je suis de l'humeur des oiseaux,
je ne puis pas souffrir la cage.
On a beau dorer ses barreaux,
pour moi, c'est toujours l'esclavage.
Comme les hirondelles,
Fuyant des fers maudits...
C'est pour changer de nids
Que l'amour a des ailes.
*(Musical instruction)",ABCCDEEFFGGHHIJJKKLL,Strophic with refrain,feminine; feminine; masculine; masculine; masculine; feminine; feminine; feminine; feminine; feminine; masculine; masculine; masculine; masculine; feminine; feminine; feminine; masculine; feminine; feminine; feminine,12; 6; 5; 3; 3; 6; 7; 4; 3; 6; 4; 5; 3; 4; 8; 8; 8; 8; 5; 6; 7,,(Ils dansent sur la ritournelle),"Polkette reprises 'Je suis Polkette, etc.'"
1,4,2,Polkette; Poulot,Polkette and Poulot sing a duet about their agreement to marry.,AIR de J. Nargeot,"Ah 1 vraiment
Quel moment !...
Allumons en cette journée
Le flambeau d'l'hyménée.
L'hymen est un lien charmant
C'est un lien charmant!
POULOT.
Je vous soignerai,
Vous dorloterai.
POLKETTE.
Offerts par vous, que les bouillons
Seront bons!
POULOT.
Vous s'rez mon mari,
Mon mari chéri.
POLKETTE.
C'est moi qui s'ravot'bibi.
ENSEMBLE.
Ah ! vraiment,etc.",AABBCCDEEF,Strophic with ensemble,feminine; masculine; feminine; feminine; masculine; masculine; feminine; feminine; feminine; feminine; masculine,4; 4; 8; 8; 6; 6; 4; 4; 5; 5; 5,,(Poulot la prend par la taille. Elle passe à gauche.),
1,9,3,Polkette; Poulot; Bamboche,Polkette tries to intervene in a fight to stop Poulot and Bamboche from harming each other.,AIR des Mystères de l'été(2e acte),"POULOT.
Je suis d'une fureur!
Je suis d'une colère!
Sache qu'un militaire
D'un civil n'a pas peur.
BAMBOCHE.
Je suis d'une fureur!
Je suis d'une colère!
Crois que d'un militaire
Un civil n'a pas peur.
POLKETTE.
Calmez cette fureur,
Cette aveugle colère!
Et videz cette affaire
Comme des gens de cœur.",AABB CCDD EEFF,Simple alternating strophes,feminine; feminine; feminine; masculine; feminine; feminine; feminine; masculine; feminine; feminine; feminine; feminine,7; 7; 7; 7; 7; 7; 7; 7; 7; 7; 7; 7,,"(Bamboche et Poulot sortent, en se colletant, par la porte du 2e plan à droite)",
1,11,4,Polkette,Polkette sings about her ambitions and indifference to the outcome of the ongoing fight.,Le beau Lycas,"Je veux quitter ce quart de monde,
J'ai du toupet, j'ai de l'orgueil;
On massacrerait tout le monde,
Que j'm'en battrais parfait'ment l'œil!
Je veux enfin du quart de monde
M'élever jusqu'au demi-monde...
Le tiers de monde est trop jobard,
L'demi seul est un mond' flambard;
Car les femmes du demi-monde
Se moquent du tiers et du quart.",ABAB CCDD EE,Strophic,feminine; feminine; feminine; masculine; feminine; feminine; masculine; masculine; feminine; masculine,10; 10; 10; 10; 9; 6; 7; 7; 10; 7,,,
1,14,5,Polkette; Bamboche; Poulot; Nini,"Everyone sings together, celebrating their lifestyle and humorously acknowledging their questionable society status.",Nous sommes du quart de monde,"Nous sommes du quart de monde,
Nous formons un monde à part.
Nous sommes, etc.
Il faut, au reste du monde
Qui nous fronde,
Prouver que le quart de monde
Est l'meilleur quart.
Vive Racine et Corneille!
Vive Molière et Reguard!
Ils ont fait mainte merveille
Sans pareille,
Mais je préfère Alphonse Karr...
J'suis pour le quart.
Ils ont fait mainte merveille
Sans pareille;
Mais il préfère Alphons' Karr...
Il aim' le quart.",ABAC DDEE DDEE,Song with alternating ensemble and solo parts,feminine; masculine; feminine; feminine; feminine; masculine; masculine; feminine; masculine; masculine; feminine; masculine,9; 7; 7; 8; 5; 9; 5; 9; 7; 7; 7; 7,,Nini se levant et allant à Bamboche,
1,9,1,Poulot; Bamboche; Polkette,A confrontation between Poulot and Bamboche with Polkette trying to mediate.,AIR des Mystères de l'été (2e acte),"POULOT.
Je suis d'une fureur!
Je suis d'une colère!
Sache qu'un militaire
D'un civil n'a pas peur.
BAMBOCHE.
Je suis d'une fureur!
Je suis d'une colère!
Crois que d'un militaire
Un civil n'a pas peur.
POLKETTE.
Calmez cette fureur,
Cette aveugle colère!
Et videz cette affaire
Comme des gens de cœur.",AABB CCDDEE,Alternating dialogue and refrain,feminine; feminine; feminine; masculine; feminine; feminine; feminine; masculine; feminine; feminine; feminine; masculine,7; 7; 8; 6; 7; 7; 8; 6; 7; 7; 8; 6,,"Bamboche et Poulot sortent, en se colletant, par la porte du 2e plan à droite.",
1,10,2,Polkette,Polkette reflects on her situation and expresses her aspirations.,Le beau Lycas,"Je veux quitter ce quart de monde,
J'ai du toupet, j'ai de l'orgueil;
On massacrerait tout le monde,
Que j'm'en battrais parfait'ment l'œil!
Je veux enfin du quart de monde
M'élever jusqu'au demi-monde...
Le tiers de monde est trop jobard,
L' demi seul est un mond' flambard;
Car les femmes du demi-monde
Se moquent du tiers et du quart.",ABABCDCDCDCD,Stanzaic verse,feminine; masculine; feminine; masculine; feminine; feminine; masculine; feminine; feminine; masculine,8; 8; 8; 12; 8; 10; 8; 12; 8; 12,,Ici Nini paraît au fond et entre.,
1,14,3,Polkette; All,"Celebration of camaraderie and solidarity among the characters with a playful, communal tone.",Nous sommes du quart de monde,"POLKETTE.
Nous sommes du quart de monde,
Nous formons un monde à part.
TOUS.
Nous sommes, etc.
POLKETTE.
Il faut, au reste du monde
Qui nous fronde,
Prouver que le quart de monde
Est l'meilleur quart.
TOUS.
Il faut, au reste du monde, etc.",AABBCC,Refrain at the beginning and end with verse in between,feminine; feminine; feminine; feminine; feminine; feminine; feminine; feminine,8; 8; 6; 8; 4; 8; 6; 8,,--,
1,14,4,Bamboche; All,Commentary on preference for Alphonse Karr over classical authors with a humorous tone.,Vive Racine et Corneille,"BAMBOCHE.
Vive Racine et Corneille!
Vive Molière et Reguard!
TOUS.
Vive Racine, etc.
BAMBOCHE.
Ils ont fait mainte merveille
Sans pareille,
Mais je préfère Alphonse Karr...
J'suis pour le quart.
TOUS.
Ils ont fait mainte merveille
Sans pareille;
Mais il préfère Alphons' Karr...
Il aim' le quart.",AABBCCDD,Refrain with commentary,feminine; feminine; feminine; feminine; feminine; masculine; feminine; masculine,8; 7; 6; 8; 4; 8; 6; 8,,--,
1,14,5,Nini; All,Nini comments on her relationship with a student and her aspirations.,L'étudiant m'appell'son ange,"MINI.
L'étudiant m'appell' son ange,
J'aime à l'suivre chez Musard.
TOUS.
L'étudiant l'appell' son ange,
Elle le suit chez Musard.
MINI.
Mais jamais en agent d'change,
Il ne se change;
Et j'voudrais d'agent de change
Avoir un quart.
TOUS.
Mais jamais en agent d'change, Il ne se change;
Ell' voudrait d'agent de change,
Avoir un quart.",AABBCCDDEE,Alternating dialogue and refrain,feminine; masculine; feminine; masculine; feminine; masculine; feminine; feminine; feminine; feminine,8; 8; 8; 8; 8; 6; 8; 4; 8; 4,,--,
