act,scene,number,characters,dramatic_situation,air_or_melodie,poetic_text,rhyme_scheme,poetic_form,end_of_line_accents,syllable_count_per_line,irregularities,stage_direction_or_cues,reprise
1,1,1,MERLUCHE; TRINETTE; RIQUIQUI; SIX AUTRES PÊCHEUSES,The fisherwomen are in the sea gathering mussels and are about to leave as the tide rises.,"Air : Canotier, queljolimétier!",Laissonsles moules Au rocher; Ohé ! Fautcraindrelesampoules. A quoi bon les en détacher? Demain nous viendronsleschercher. Ohé ! ohé! (bis.) Laissonsla marée approcher.,ABACCDDB,Chorus,feminine; masculine; masculine; feminine; feminine; feminine; masculine; masculine,6; 5; 2; 6; 8; 3; 2; 7,,(Entréede touteslespêcheuses.),
1,1,2,RIQUIQUI,Riquiqui complains about her life collecting mussels and laments not being a lady of leisure.,Air : Le beau Lycas,"Parlez-moi de lacrignoline, Quand ,parelletoutestdoublé; En la voyant, on s'imagine Qu 'c'estun log'menttrès-bienmeublé. Mais c' qu'ilpromet, ilne l' tientguères, Et j'disqu'nous verrions,mes commères, Moins de femm's s'en glorifier, Si lesgalants, avantd's'y fier, Faisaient, comm' lespropriétaires, L'inventairedu mobilier.",ABABCCDDCEE,Verse with internal narrative,feminine; feminine; feminine; feminine; feminine; feminine; feminine; feminine; feminine; feminine; feminine,10; 7; 10; 6; 11; 7; 8; 9; 11; 10; 9,,,"TOUTES . S'ilsf'saientcomm' lespropriétaires, etc."
1,1,3,FRISETTE; RIQUIQUI; MERLUCHE; TRINETTE; TOUTES,"Frisette explains the new fashion trend of wearing dresses on sticks, while Riquiqui longs to dress like a lady even if only for five minutes.",Air : Tout ça passeen même temps,"Pour charmerlesconnaisseurs, Suivantlamode etlesdates, On portades rob'sà cœur, On portades robesplates; On en portade tout'sorte, A la Vierge, à laNinon ... Et maintenantça se porte..",ABABCDDC,Verse,feminine; feminine; feminine; feminine; feminine; feminine; masculine; feminine,9; 9; 8; 8; 8; 6; 6; 4,,"SCÈNE II. LES MÊMES, FRISETTE, portant une robe à quatre volants au bout d'un grand bâton.",TOUTES. Ça se porte? (bis.) RIQUIQUI. Ça s'porteau bout d'un bâton.
1,1,4,RIQUIQUI; FRISETTE; TOUTES,"Riquiqui wants to dress up as a high-class lady, even if only for a short while.",Air : Ah ! quelplaisirque la folie!,"Vite, allons, à ma toilette! V'nez donner un p'titcoup d'main. Jamaisdieuxnous un' fillette N'eûtun jupon sirupin! TOUTES . Vite, ilfaut, à sa toilette Donner un petitcoup d'main. Jamaischeux nous un'fillette N'eûtun juponsi rupin! Ah ! ah ! ah ! ah ! ah ! etc.",ABABCDCD,Call and response with internal repetition,masculine; masculine; feminine; masculine; masculine; masculine; feminine; masculine,9; 10; 10; 8; 9; 10; 10; 8,,"(Pendantce couplet, on luia passé la cage en guisede jupon.)",
1,1,5,RIQUIQUI; FRISETTE; TOUTES,"Riquiqui continues her transformation with the help of her friends, who assist her with her makeshift outfit.",Air : Ah ! quelplaisirque la folie!,"Maintenantlarobe. FRISETTE . Hélas! Cett'robe qui t'affriande, Pour toije la croistropgrande, Elleva tomber tropbas. RIQUIQUI . Ah ! ah ! TOUTES . Ah ! ah !",ABABCCD,Verse with conversational interjections,masculine; feminine; feminine; feminine; masculine; masculine; feminine,6; 2; 9; 9; 7; 3; 3,,(Frisette gives the dress to Riquiqui),"RIQUIQUI . Tant mieux, siça tomb'tropbas, Attenduque j'n'aipas d'bas."
2,1,1,Valère,Valère expresses his emotions and determination in love.,"Air de ""Charmante Gabrielle""","Qu'elle est belle, charmante,
Ma Sylvie! ah, combien je l'aime!
Pour elle, je braverais mille dangers!
Rien n'égale mon amour extrême;
Ah! si je pouvais unir
Mon sort au sien pour l'avenir!",AABCCB,Sextet,feminine; feminine; masculine; feminine; masculine; feminine,8; 8; 9; 8; 8; 8,,"(Valère sings passionately, with gestures emphasizing his determination).",
2,3,1,ISABELLE,Isabelle sings about the end of her romantic attachment and her freedom from love's chains.,Que ne suis-je la fougère,Que ne suis-je encor sans maîtresse !\nCe beau rôle est plein d'agrément.\nMa raison reprend son empire\nJ'aime mieux celui de Bacchus.,ABCB,Quatrain,feminine; masculine; feminine; masculine,10; 10; 9; 9,,,
2,5,1,PREMIER MONSIEUR; DEUXIÈME MONSIEUR; TROISIÈME MONSIEUR; QUATRIÈME MONSIEUR; CINQUIÈME MONSIEUR,"A lively scene where the five 'MESSIEURS' engage in a group song, possibly conveying a message or engaging in a comedic routine pertinent to the scene's context.",Unknown,"Messieurs, chantons ensemble avec entrain,
Que la joie dans nos cœurs jamais ne s'éteigne !",AABB,Couplet,masculine; feminine,12; 12,,The messieurs gather in a semi-circle and begin to sing jovially.,
2,1,1,Premier Médecin,"The Premier Médecin is proclaiming his intentions to heal the plants, transforming the Champs-Élysées into a hospital.",Air du Château perdu,"Quand je serai en butte à vos risées,\nJe veux guérir le règne végétal,\nEt vous voyez que des Champs-Élysées\nJ'ai déjà fait mon premier hôpital.\nEn lettres d'or, sur les plus riches marbres,\nOn doit un jour inscrire mes exploits,\nJ'espère enfin que le docteur des arbres\nÉclipsera le grand docteur Dubois.",ABAB CDCD,Single stanza,feminine; masculine; feminine; masculine; feminine; masculine; feminine; masculine,12; 12; 12; 12; 12; 12; 12; 12,,(Indiquant l'arbre de gauche.),
2,1,2,Premier Médecin,Premier Médecin is describing a new invention to transport patients by train for medical processes.,Vaudeville de l'Apothicaire,"Sur toutes les inventions\nJe crois que celle-ci l'emporte,\nÇa donne des émotions\nAux malades que l'on transporte: \nSans ordonnances du docteur,\nOn est sûr, quand le train se presse,\nDe se purger à la vapeur\nEt d'aller à grande vitesse.",ABAB CDCD,Single stanza,feminine; masculine; feminine; masculine; feminine; feminine; feminine; feminine,10; 10; 10; 10; 10; 10; 10; 10,,(Il parle. La musiquette continue doucement.),
2,2,3,Choeur,A chaotic scene where townsfolk and peasants are running around as a loose cow from the Hippodrome causes panic.,Air de FERNAND CORTEZ,"Courons, courons, courons;\nSi la vache\nSe cache,\nCourons, courons, courons,\nNous la rattraperons.",AAAB,Chorus,masculine; masculine; feminine; masculine; masculine,8; 3; 2; 8; 8,,(Tous sortent par la gauche.),
2,2,4,Le Paysan Landais,"After catching the cow, a French peasant reveals that there is a lawsuit by bulls against cows being used instead of them in games.",Air : J'ons un curé patriote,"Foulant aux pieds leurs panaches,\nLes taureaux sont très-vexés,\nEn voyant que par des vaches\nIls ont été remplacés.\nDe ce tort ces animaux\nVont saisir les tribunaux,\nEt les vaches pay'ront gros,\nCar ça fait tort aux taureaux!\nTort aux taureaux, tort aux taureaux!",ABAB CCDDD,Single stanza,masculine; feminine; feminine; masculine; masculine; feminine; feminine; feminine; feminine,9; 8; 9; 9; 8; 8; 7; 7; 6,,,
2,2,5,Le Paysan Landais,The Paysan Landais continues to speak about their replacement with cows in various scenes and their theatrical consequence.,Air des Puritains,V'là la vach' qu'on nous ramène ;Elle est dans un drôl' d'état.\nNous pouvons vous jouer un'scène:\nVous allez voir not' combat.,AABB,Single stanza,masculine; feminine; feminine; masculine,12; 8; 8; 8,,(Regardant à gauche.),
2,4,6,L'Illustration; Le Monde Illustré,"L'Illustration and Le Monde Illustré, metaphorically representing rival publications, challenge each other.",Air de la Savonnette,"Ah ! de fureur je tremble!\nBattons-nous, je le veux!\nNous ne pouvons ensemble\nExister toutes deux !",ABAB,Single stanza,feminine; masculine; masculine; feminine,8; 8; 7; 8,,,
2,4,7,Madame Bovary; Madame Gilblas,"Madame Bovary and Madame Gilblas, representing literary characters contesting their positions in the public realm.",Air de la Corde sensible,"J'étais l'ornement de la Presse,\nMais j'ai perdu tous mes appas :\nOn fuit, on dédaigne, on délaisse\nLa pauvre madame Gilblas.\nEnfin, ne sachant plus que faire,\nSeule je m'endors à présent.",ABABCC,Single stanza,feminine; masculine; feminine; masculine; feminine; masculine,10; 10; 10; 10; 10; 9,,,
2,4,8,Madame Bovary,Madame Bovary boasts about her literary triumphs despite scandals.,Que lui manque -t-il? – La parole,"Qu'importe! c'est officiel,\nOn vit quatre éditeurs me suivre: \nOui , Paul, Mathieu, Pierre et Michel \nVoulurent imprimer mon livre;\nCraignant mes excentricités,\nMathieu ne vit pas mon mérite;\nPaul ne vit pas mes qualités;\nPierre ne vit pas mes beautés;\nMais Michel les vit tout de suite.",ABABCCDDEE,Single stanza,feminine; feminine; feminine; feminine; feminine; masculine; masculine; masculine; feminine; feminine,10; 10; 10; 10; 10; 10; 10; 10; 7; 10,Some syllable counts in individual lines are inconsistent with strict meter norms but seem intentional for comedic effect,,
2,4,9,Les Deux Danseuses,Two rival dancers discuss their competition over audience's admiration and bouquets at the Opéra.,Air du Tra lala.,"Trouvant chez lui fort peu de pièces et d'auteurs,\nL'Opéra fut forcé d'en aller prendre ailleurs.\nIl a fait un ballet du vieux Marco Spada\nEt du Cheval de Bronze un trop grand opéra...",AABB,Single stanza,feminine; masculine; feminine; masculine,12; 12; 12; 10,,(The danseuses dance during the refrain.),
2,6,10,Olibrius; Four Messieurs,Olibrius vows to bring order to the chaotic world of dancing.,En avant!,"Oui, maintenant, en France,\nChacun a son mandat...\nEt je fais de la danse\nUne affaire d'État.\nJe suis de Terpsichore\nLe disciple fervent,\nEt le progrès encore\nMe répète: En avant!\nEn avant!\nPlus légers que le vent,\nEn avant!\nCrions fort et souvent: \nEn avant!\nNon , plus de concurrence!\nQue , sous la même danse,\nAu gré des professeurs,\nSe rangent les danseurs!\nAu bal, à la guinguette,\nGrande dame et grisette\nSoumettront leurs jarrets\nAux règles du congrès.\nOui, maintenant, en France, etc.",ABABCDCD EFFE GGHG IIJJ KKLL CCDB,Stanzas with refrains,feminine; masculine; feminine; masculine; feminine; masculine; feminine; masculine; masculine; masculine; masculine; masculine; feminine; masculine; feminine; feminine; masculine; feminine; masculine; feminine; feminine; feminine; masculine; feminine; masculine,8; 6; 8; 6; 8; 8; 8; 4; 4; 6; 4; 6; 8; 10; 8; 8; 8; 8; 8; 8; 8; 8; 8; 8; 8; 8,Refrain 'En avant!' makes the verse varied with short repetitions.,,
2,6,11,Aldégonde; Olibrius,Aldégonde wants Olibrius to teach her the English jig to secure her inheritance.,Air de Gigue,"La Gigue est un pas;\nC'est un pas\nPlein d'appas,\nQui n'a pas,\nIci-bas,\nSon pareil, même en France.\nIl faut des jarrets\nPour tous ces\nPas coquets: \nVoyez chez les Anglais,\nC'est la danse \nA succès.",AABBC DDEEF,Stanza,masculine; masculine; masculine; masculine; masculine; feminine; masculine; masculine; masculine; masculine; feminine; masculine,6; 4; 4; 4; 3; 8; 5; 3; 3; 4; 4; 4,,(He dances.),
2,7,1,CHARLES,CHARLES expresses his feelings and thoughts.,Tirons-nous de ces lieux,"Ah! c’en est trop! qu’ai-je entendu!
Mon sort m’accable et me surpasse,
En un moment tout m’a perdu,
Il faut m’éloigner de la place.",ABAB,Quatrain,masculine; feminine; masculine; feminine,9; 9; 9; 9,,,
2,1,1,Premier Médecin,The Premier Médecin sings about his aspirations for treating diseased trees as he stands in consultation with other doctors.,Air du Château perdu,"Quand je serai en butte à vos risées, Je veux guérir le règne végétal, Et vous voyez que des Champs-Élysées J'ai déjà fait mon premier hôpital. En lettres d'or, sur les plus riches marbres, On doit un jour inscrire mes exploits, J'espère enfin que le docteur des arbres Éclipsera le grand docteur Dubois.",ABAB CDCD,quatrains,féminine; masculine; féminine; masculine; féminine; masculine; féminine; masculine,12; 12; 12; 11; 12; 12; 12; 11,None,Indicating the tree on the left.,
2,1,2,Premier Médecin,The Premier Médecin reflects on the innovation of transporting patients by train with humor.,Vaudeville de l'Apothicaire,"Sur toutes les inventions Je crois que celle-ci l'emporte, Ça donne des émotions Aux malades que l'on transporte: Sans ordonnances du docteur, On est sûr, quand le train se presse, De se purger à la vapeur Et d'aller à grande vitesse.",ABAB CDCD,quatrains,féminine; féminine; féminine; féminine; féminine; féminine; féminine; féminine,12; 11; 11; 11; 12; 12; 11; 11,Line 8 has an atypical number of syllables compared to line 7.,,
2,2,3,Choeur,A chaotic scene with a cow escaping from the Hippodrome causing a frenzy.,Air de FERNAND CORTEZ,"Courons, courons, courons; Si la vache Se cache, Courons, courons, courons, Nous la rattraperons.",AAAB,refrain,masculine; feminine; feminine; masculine; masculine,5; 4; 3; 5; 7,Short lines reflecting urgency.,The scene involves chaotic action with characters running off stage after a cow.,
2,2,4,Le Paysan Landais,"The escalation of cow replacing bull in spectacles, leading to bovine anger.",Air : J'ons un curé patriote,"Foulant aux pieds leurs panaches, Les taureaux sont très-vexés, En voyant que par des vaches Ils ont été remplacés. De ce tort ces animaux Vont saisir les tribunaux, Et les vaches pay'ront gros, Car ça fait tort aux taureaux! Tort aux taureaux, tort aux taureaux!",ABAB CDDC,two quatrains with refrain reprise,féminine; masculine; féminine; masculine; masculine; masculine; féminine; masculine; masculine,9; 8; 9; 8; 7; 8; 8; 7; 4,Refrain emphasizes the humor and word play on 'torto' and 'taureau'.,,
2,2,5,Le Paysan Landais; Le Médecin,The absurdity of the circus spectacle is discussed.,Air des Puritains,V'là la vach' qu'on nous ramène ; Elle est dans un drôl' d'état. Nous pouvons vous jouer un'scène: Vous allez voir not' combat.,ABAB,quatrain,féminine; masculine; féminine; masculine,8; 8; 8; 7,None,Additional stage directions include a pantomime with the cow and peasants.,
2,3,6,Choeur,Chorus celebrating and heralding the arrival of the cow with a comedic touch.,Air des Puritains,"V'là la vach' que j'vous ramène ; Elle est dans un drôl' d'état. Nous pouvons vous jouer un'scène, Une scène de ce combat.",ABAB,quatrain,féminine; masculine; féminine; masculine,8; 8; 8; 7,Repeated segment indicating a reprise or variation of the previous number.,Performers engage in pantomime with the cow in alignment with the number.,
2,4,7,Ensemble,"Madame Gilblas and Madame Bovary appear and quickly dive into an argument, escalating the comedic rivalry.",Air de la Savonnette,"Ah ! de fureur je tremble! Battons-nous, je le veux! Nous ne pouvons ensemble Exister toutes deux !",ABAB,quatrain,masculine; masculine; masculine; feminine,7; 7; 8; 7,Reduced syllable number in the last feminine line brings lightness.,,
2,4,8,Madame Bovary; Madame Gilblas,"Madame Bovary and Madame Gilblas engage in a verbal spar, mocking each other's public persona.",Air de la Corde sensible,"J'étais l'ornement de la Presse, Mais j'ai perdu tous mes appas : On fuit, on dédaigne, on délaisse La pauvre madame Gilblas. Enfin, ne sachant plus que faire, Seule je m'endors à présent.",ABABCC,sestet,féminine; masculine; féminine; masculine; féminine; féminine,8; 8; 8; 7; 8; 8,"First half of sestet contrasts with second, marking emotional turn",,
2,4,9,Madame Bovary,"Madame Bovary counters with wordplay, underlining how publishers were eager to print her book.",Air : Que lui manque-t-il ? – La parole,"Qu'importe! c'est officiel, On vit quatre éditeurs me suivre: Oui, Paul, Mathieu, Pierre et Michel Voulurent imprimer mon livre; Craignant mes excentricités, Mathieu ne vit pas mon mérite; Paul ne vit pas mes qualités; Pierre ne vit pas mes beautés; Mais Michel les vit (bis) tout de suite.",ABAB CDCD (EE),octet with lines repeated,masculine; feminine; masculine; feminine; féminine; masculine; féminine; féminine,8; 8; 8; 8; 8; 8; 8; 8,Last lines' repetition emphasizes Madam Bovary's triumph over critics.,,
2,5,10,Premier Monsieur; Deuxième Monsieur,A parody of financial trading and the rush in stocks is humorously acted out by two characters exchanging nervous greetings.,Air de Larifla,Proum ! proum ! proum ! Ah ! ah ! ah! ah ! ah !,AA BB,dialogue-like lines,masculine; masculine,4; 5,Lines portrayed with onomatopoeic sounds.,Characters enter and exit on recognized cadence of a vaudeville number.,
3,1,1,PREMIER OURS; DEUXIÈME OURS,Deux ours se cachent des chasseurs dans la forêt dramatique.,"Ton ton, ton taine, ton ton","Homme sans tête, adieu, courage! Remets ta tête de carton... Ton ton, ton ton, ton taine, ton ton. Et toi, rentre-dans le bocage, Pour échapper au feuilleton. Ton ton, ton taine, ton ton.",AABB,Quatrain,masculine; masculine; masculine; masculine; masculine,9; 8; 9; 9; 7,"The phrase 'Ton ton, ton taine, ton ton' is repeated in both single and ensemble lines.",(On entend de nouveaux sons de cor plus rapprochés. La chasse se rapproche.) Ils remettent leurs têtes et s'éloignent vivement de chaque côté.,
3,2,2,LE FIGARO; LE CHARIVARI; TOUS,Critics setting off to chase and criticize poor theatre pieces.,"Ton taine, ton ton","Francs critiques, point de faiblesse, Qu'on apprête son mousqueton... Ton ton, ton ton, ton taine, ton ton, Pour chasser les mauvaises pièces, Il faut parcourir ce canton. Ton ton, ton taine, ton ton. Oui, mon bon Charivari, que d'autres se contentent de chasser lièvres, perdreaux et hécasses...",ABACBC,Stanza with a refrain,feminine; masculine; masculine; feminine; feminine; feminine,12; 9; 9; 11; 12; 7,"The phrase 'Ton ton, ton ton, ton taine, ton ton' is used as a musical refrain.",,
3,2,3,LE FIGARO; TOUS,The critics talk about their unique 'hunt' for theatrical works.,Air de la Polka des écus,"Chasseurs pleins d'audace, Oui, nous avons pris Un permis de chasse Pour tous les lundis... Chasse littéraire, Utile aux bourgeois, Et qu'on nous voit faire Quatre fois par mois. Dans les grandes chasses, Souvent daims, chamois, Lièvres et bécasses Manquent à la fois; Mais dans nos parages, Du Cirque aux Français, Les mauvais ouvrages Ne manquent jamais. Eh bien! chassons-les! Ah! tremblez, auteurs! Voici les chasseurs, Vos accusateurs Et vos seuls censeurs!",ABABC DDEEFF GGHEEI JJ,Stanza with multiple rhymes,feminine; masculine; feminine; feminine; feminine; masculine; feminine; masculine; feminine; masculine; feminine; feminine; feminine; masculine; feminine; masculine,8; 6; 6; 6; 6; 5; 5; 5; 6; 5; 5; 5; 6; 5; 5; 5,,"Jocho se sauve par la gauche. – Les chasseurs le poursuivent, on entend, dès qu'ils ont disparu, deux coups de feu dans la coulisse.","Chœur: Chasseurs pleins d'audace, etc."
3,4,4,LE ROI LEAR; SHAKSPEARE,The characters are lamenting their fate in the world of theatre criticism.,J'ai perdu mon âne,"Je suis le roi Lire. Moi, je suis Chekspire. Deux ouvrages aplatis Au boulevard, les titis M'ont nommé Léare. Moi Schakespéare.",AABBCC,Dialogical quatrains,masculine; masculine; feminine; feminine; feminine; masculine,6; 6; 8; 8; 5; 5,The names are distorted for comic effect.,Ils s'embrassent.,
3,5,5,L'AFRICAINE; LE TÉNOR,The African woman laments being pursued by opera critics.,Musique nouvelle de M. J. Nargeot,"Voilà quinze ans qu'à l'Opéra, Pour débuter dans l'Africaine, Comme ténor on m'engagea, Et je n'avais, en ce temps-là, Tout au plus que la quarantaine. Mais si, pendant cinq ans encor, Vous nous fuyez, votre ténor, Hélas! aura la soixantaine.",AABCCBDD,"Lament form, possibly a romance or ballad",feminine; masculine; feminine; feminine; masculine; masculine; masculine; feminine,8; 8; 8; 8; 10; 8; 8; 9,Direct address oscillating between reproach and lament.,,
3,6,6,LANDRICHE; MARGOT; LE CHARIVARI; LE FIGARO,Characters describe their mundane actions in a musical number possibly mocking mundane operatic subjects.,Air de Margot,"C'est tout comm' si vous m' demandiez C' que j'fais à l'Opéra-Lyrique. Sur de la tout' petit'musique, J'parle normand, comm' vous voyez. Devant l'or, je reste en extase: J'en ai plus que la rein'Topaze... Et j'compt'mon or à tout moments...(bis.)",ABCBDEDE,"Typical vaudeville form with humorous, repetitive rhymes",feminine; feminine; feminine; feminine; feminine; feminine; feminine; masculine,10; 10; 10; 10; 9; 8; 10; 9,,,"The scene is reprised soon afterwards, with some other elements."
3,7,7,TARTUFE,"Tartufe aims to play the role of Tartufe himself, perhaps parodying the theatre directors' ambitions.",Unknown melodie that follows the recitation of Tartufe lines.,"Je vous dis que je le jouerai...et je le jouerai!...c'est trop fort!... Voilà ce qui se passe...la petite Thierret, une enfant que son directeur a vu naître, quitte le Palais-Royal, pour aller jouer Tartufe à l'Odéon...Eh bien! moi aussi, je veux le jouer, Tartufe...Ravel, aussi!...Hyacinthe, aussi!...",Prose or unrhymed monologue,Spoken with musical cue,,,Short prose soliloquy with musical interruption.,"Récitant.) Laurent, serrez ma haire avec ma discipline... Du soin, la...hé ! mon trognon!... Et priez que toujours le ciel vous illumine... Ah! dites donc... (insistent recitation)",
3,3,1,Character A; Character B,Character A and B are discussing their love for one another but are worried about being overheard.,"Air de ""La Belle Fermière""","Ah, pour être heureux en amour,\nIl faut savoir, c'est notoire,\nQu'on paie souvent de mots si doux\nCe qu'on ne peut pas croire.",ABAB,Quatrain,masculine; feminine; masculine; feminine,9; 8; 8; 8,"In the second line, 'c'est notoire' is sung quickly to fit the melody.",Character B looks around nervously to see if anyone is listening.,
3,6,1,Lucile; Henri,"Lucile and Henri are discussing Henri's marriage prospects, and Henri teases Lucile about her feelings.",Air de 'La Belle Gabrielle',"Chantez, chantez, mignonne,
Tant qu'il est encor temps :
L'Amour qui tourbillonne
N'attendra pas longtemps.",ABAB,quatrain,féminine; masculine; féminine; masculine,8; 8; 8; 8,,(Lucile sings teasingly to Henri),
3,6,2,Henri,Henri responds to Lucile's teasing with a playful warning about love's fleeting nature.,"Air de 'Reviens, mon amoureuse'","Tremblez, tremblez, coquette ;
Le temps est dangereux,
Quand l'Amour vous arrête,
On n'est jamais heureux.",ABAB,quatrain,féminine; masculine; féminine; masculine,8; 8; 8; 8,,,
3,7,1,Character 1; Character 2,A resolution of conflict between the two characters is taking place.,Air de 'Charmante Gabrielle',"Ah! Quel bonheur d'être ensemble, D'oublier nos vieux débats. Unissons-nous, tout nous semble Vouloir guider nos pas.",ABAB,Quatrain,feminine; masculine; feminine; masculine,8; 8; 8; 8,,(Character 1 and Character 2 embrace joyfully),
3,8,1,PRASCOVE; ANATOLE,An emotional farewell between Prascove and Anatole as they are about to part ways.,Du joli Jupon,"Ne me quitte pas, disais-tu sans cesse.\nEt que deviendrai-je, éloigné de toi ?\nDe ton départ j'implore le secours :\nAh ! reviens à moi pour toujours.",ABAB,Quatrain,masculine; masculine; masculine; masculine,10; 10; 10; 10,,(Prascove embraces Anatole with tears in her eyes.),
3,10,1,LEONARD,A humorous reflection on his own foolishness and hypocrisy.,du vaudeville de Madame Angot,"Ah! qu’il est bête, qu’il est bête, qu’il est bête,
Qu’il est bête, oh, oh, oh, oh !
Qu’il est bête de vouloir plaire,
Au doux objet qu’il veut séduire !
Voyez-vous bien ce misérable !
Il se croit un homme capable,
Et de l’esprit d’un séducteur.
Quand il n’est qu’un benêt de cœur.",AABCCB,Regular poem,feminine; masculine; feminine; masculine; feminine; masculine,10; 8; 10; 10; 10; 8,,"Leonard sings humorously, emphasizing his foolishness.",
