act,scene,number,characters,dramatic_situation,air_or_melodie,poetic_text,rhyme_scheme,poetic_form,end_of_line_accents,syllable_count_per_line,irregularities,stage_direction_or_cues,reprise
1,3,1,HECTOR,Hector and Georgina meet and Hector humorously describes the feelings associated with following an unknown woman.,AIR de Kradoudja,"L'inconnue est un ange Auteint blanc et velouté Un trésor sans mélange De jeunesse et de beauté. Elle a la taille fine, Une jambe divine, Un regard qui calcine Comme les feux de l'été! Et ce portrait, ma divine, Trouvez-vous qu'il soit flatté?",ABABCCDD,Stanza,feminine; masculine; feminine; masculine; feminine; feminine; feminine; masculine,8; 8; 8; 8; 6; 6; 6; 8,,,
1,3,2,GEORGINA; HECTOR,"Hector and Georgina part ways with mutual understanding, expressing a certain pleasure in the encounter without deep emotional involvement.",AIR de Castilbelza,"Qu'il est doux de pouvoir Se quitter sans s'émouvoir; Et, pourtant, d'avoir Du plaisir à se revoir! GEORGINA, Aujourd'hui, le destin Nous rassemble en ce jardin; On se serre la main. Et l'on poursuit son chemin.",AABB CCDD,Dialogue in song,masculine; feminine; masculine; feminine; masculine; feminine; masculine; feminine,8; 8; 8; 8; 8; 8; 8; 8,,Reprise For both characters,reprise of ensemble section
1,2,1,CHARLES; VALÈRE,Charles and Valère discuss plans to win over Lucile.,Air de 'Charmante Gabrielle',"Aujourd'hui l'aimable Lucile
Doit nous donner le choix heureux.
Pour plaire à cette jeune fille,
Employons tous nos soins, nos vœux.",ABAB,quatrain,feminine; masculine; feminine; masculine,8; 8; 8; 8,,(Charles and Valère sing in unison),
1,2,2,VALÈRE,Valère expresses his determination to win Lucile's heart.,Air de 'J'ai du bon tabac',"Moi, je saurai plaire à la belle;
Pour elle je ferai des vers,
Des couplets et des ritournelles.
Ah! Que n'ai-je mille talents divers!",ABAB,quatrain,feminine; masculine; feminine; masculine,8; 8; 8; 10,"The fourth line has 10 syllables, differing from the 8 in the other lines.",,
1,3,1,Unknown,Unknown,Unknown,?,Unknown,Unknown,,,Misinterpretation by file reader,None,None
1,5,1,CHARLES; LISETTE,"Lisette teases Charles about love and marriage, attempting to make him commit to a more serious view on matters of the heart.","Air de ""Jeanneton prend sa faucille""","Quand l'amour prend par la main\nParents, maison et domaine,\nIl nous dit : sans souci,\nViens, mignonne, c'est pour lui.",ABCC,Quatrain,féminine; féminine; masculine; féminine,9; 9; 6; 9,,"CHARLES, d'un air malicieux, saisit la main de LISETTE.",
1,6,1,Character 1; Character 2,Character 1 is trying to convince Character 2 to join a scheme.,Au clair de la lune,"Quand la nuit est brune,\nTout nous sourit,\nLa fortune s'allume\nSi tu le dis.",ABAB,Quatrain,féminine; masculine; féminine; masculine,6; 5; 6; 5,,(Character 1 gestures to encourage Character 2),
1,7,1,CHARLES,"Charles, expressing contentment about the peace and tranquility of the countryside.","Air: ""J'ai du bon tabac""","Dans le calme champêtre,\nJe trouve le bonheur.\nLoin de tout le bruit de la ville,\nJe sens s'éveiller mon coeur.",ABAB,Quatrain,feminine; masculine; feminine; masculine,8; 7; 8; 8,,,
1,8,1,CHARLIE,Charlie is expressing uncertainty and self-doubt about his romantic feelings.,Air de Jean de Nivelle,"Que faire en ce moment, hélas ! Je n'en sais rien. C'est un cruel embarras, Que mon destin ! Alors j'oublie tout jusqu'au chagrin, Mais en un court instant, Par une cruelle pensée, ce bienfait me fuit. Plus de secours !
Oh, Dieu ! je sens mon cœur qui s’éprend d'elle, Encore que je croie trop être guetté.",ABABCDCD,Quatrain followed by two separate lines,feminine; feminine; feminine; masculine; feminine; feminine; feminine; feminine,10; 10; 9; 8; 8; 11; 9; 12,,,
1,9,1,Character1,Character1 expresses joy over an unexpected event.,Air de 'Charmant papillon',"Quel plaisir imprévu, je ressens, je succombe,\nTout mon cœur en ce jour a retrouvé l'amour.",AABB,Quatrain,masculine; feminine; masculine; feminine,10; 8; 10; 9,,,
